source from https://ballotpedia.org/Endorsements_by_Donald_Trump
Katie Britt
Kelly Tshibaka
Blake Masters
John Boozman
Leora Levy
Marco Rubio
Herschel Walker
Mike Crapo
Chuck Grassley
Jerry Moran
Rand Paul
John Neely Kennedy
Eric Schmitt
Adam Laxalt
Don Bolduc
Ted Budd
John Hoeven
J.D. Vance
James Lankford
Markwayne Mullin
Mehmet Oz
Sean Parnell
Tim Scott
Mike Lee
Gerald Malloy
Ronald Harold Johnson
